Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry
1710,105740,KR7105740005,디케이락,KOSDAQ,우량기업부,6960,1,210,3.11,6900,7290,6830,37908,262833610,70772850480,10168513,KSQ,우량기업부,일반 목적용 기계 제조업
1711,081150,KR7081150005,티플랙스,KOSDAQ,중견기업부,2915,1,150,5.42,2820,2940,2810,225304,648589625,70742391830,24268402,KSQ,중견기업부,1차 비철금속 제조업
1712,003780,KR7003780004,진양산업,KOSPI,,5440,1,140,2.64,5300,5480,5270,128336,689089500,70720000000,13000000,STK,,플라스틱제품 제조업
1713,463480,KR7463480004,모티브링크,KOSDAQ,중견기업부,5700,1,90,1.6,5660,5770,5480,47850,268451420,70625040600,12390358,KSQ,중견기업부,전자부품 제조업
1714,039610,KR7039610001,화성밸브,KOSDAQ,우량기업부,6780,1,480,7.62,6500,6850,6500,55402,370751190,70582512000,10410400,KSQ,우량기업부,일반 목적용 기계 제조업
1715,299170,KR7299170001,더블유에스아이,KOSDAQ,중견기업부,1700,1,105,6.58,1600,1700,1600,201409,332340248,70569189600,41511288,KSQ,중견기업부,생활용품 도매업
1716,036000,KR7036000008,예림당,KOSDAQ,중견기업부,3060,1,45,1.49,3180,3180,3020,51245,156690830,70484887620,23034277,KSQ,중견기업부,"서적, 잡지 및 기타 인쇄물 출판업"
1717,067370,KR7067370007,선바이오,KOSDAQ,기술성장기업부,5780,2,-30,-0.52,5810,6090,5550,8118,46105980,70478747900,12193555,KSQ,기술성장기업부,의약품 제조업
1718,038460,KR7038460002,바이오스마트,KOSDAQ,우량기업부,2780,1,90,3.35,2715,2815,2715,130703,360871069,70263226760,25274542,KSQ,우량기업부,전자부품 제조업
1719,162300,KR7162300008,신스틸,KOSDAQ,우량기업부,1692,1,65,4.0,1613,1694,1595,31023,50935865,70169578344,41471382,KSQ,우량기업부,1차 철강 제조업
1720,060310,KR7060310000,3S,KOSDAQ,벤처기업부,1318,1,108,8.93,1225,1347,1225,403463,522711859,69931814720,53059040,KSQ,벤처기업부,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1721,073640,KR7073640005,테라사이언스,KOSDAQ,관리종목(소속부없음),654,0,0,0.0,0,0,0,0,0,69571715580,106378770,KSQ,관리종목(소속부없음),기타 금속 가공제품 제조업
1722,044340,KR7044340008,위닉스,KOSDAQ,중견기업부,3890,1,295,8.21,3615,3920,3615,14302,54547715,69527623250,17873425,KSQ,중견기업부,가정용 기기 제조업
1723,016090,KR7016090003,대현,KOSPI,,1570,1,29,1.88,1545,1589,1545,28205,44214778,69523226700,44282310,STK,,봉제의복 제조업
1724,101140,KR7101140002,인바이오젠,KOSPI,,6920,1,120,1.76,6830,7170,6800,3171,21955110,69505974720,10044216,STK,,기계장비 및 관련 물품 도매업
1725,082850,KR7082850009,우리바이오,KOSDAQ,중견기업부,1434,1,47,3.39,1387,1450,1387,86264,122923287,69486732852,48456578,KSQ,중견기업부,기타 식품 제조업
1726,097800,KR7097800007,윈팩,KOSDAQ,중견기업부,2545,1,110,4.52,3000,3160,2440,1940908,5367940788,69453164525,27290045,KSQ,중견기업부,반도체 제조업
1727,263600,KR7263600009,덕우전자,KOSDAQ,중견기업부,4355,1,160,3.81,4300,4390,4235,26977,116128100,69376500050,15930310,KSQ,중견기업부,전자부품 제조업
1728,038680,KR7038680005,에스넷,KOSDAQ,우량기업부,3475,1,110,3.27,3410,3510,3380,64840,224571672,69196430950,19912642,KSQ,우량기업부,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1729,048770,KR7048770002,TPC로보틱스,KOSDAQ,벤처기업부,4405,1,200,4.76,4290,4560,4290,316461,1402906528,69149650355,15697991,KSQ,벤처기업부,일반 목적용 기계 제조업
1730,196490,KR7196490007,디에이테크놀로지,KOSDAQ,투자주의환기종목(소속부없음),6090,0,0,0.0,0,0,0,0,0,69131518050,11351645,KSQ,투자주의환기종목(소속부없음),특수 목적용 기계 제조업
1731,039020,KR7039020003,이건홀딩스,KOSDAQ,중견기업부,3060,1,105,3.55,2955,3080,2955,54155,164651820,69109209540,22584709,KSQ,중견기업부,제재 및 목재 가공업
1732,092300,KR7092300003,현우산업,KOSDAQ,우량기업부,3425,1,35,1.03,3460,3555,3395,79453,273571222,69013308175,20149871,KSQ,우량기업부,전자부품 제조업
1733,043710,KR7043710003,코스리거글로벌,KOSDAQ,중견기업부,3985,1,45,1.14,3910,4070,3900,1211,4788720,68990320470,17312502,KSQ,중견기업부,기타 전문 도매업
